2024-12-17 12:21:54 - Bytes Sent: 6245460, Bytes Received: 211300073
2024-12-17 12:21:54 - Bytes Sent: 6245544, Bytes Received: 211300153
2024-12-17 12:21:55 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:55 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:56 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:56 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:57 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:57 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:58 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:58 - Bytes Sent: 6245544, Bytes Received: 211300207
2024-12-17 12:21:59 - Bytes Sent: 6245610, Bytes Received: 211300285
2024-12-17 12:21:59 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:00 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:00 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:01 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:01 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:02 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:02 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:03 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:03 - Bytes Sent: 6245664, Bytes Received: 211300285
2024-12-17 12:22:04 - Bytes Sent: 6245807, Bytes Received: 211300595
2024-12-17 12:22:04 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:05 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:05 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:06 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:07 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:07 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:08 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:08 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:09 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:09 - Bytes Sent: 6247062, Bytes Received: 211302090
2024-12-17 12:22:10 - Bytes Sent: 6247455, Bytes Received: 211302240
2024-12-17 12:22:10 - Bytes Sent: 6247455, Bytes Received: 211302306
2024-12-17 12:22:11 - Bytes Sent: 6247455, Bytes Received: 211302306
2024-12-17 12:22:11 - Bytes Sent: 6247510, Bytes Received: 211302372
2024-12-17 12:22:12 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:12 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:13 - Bytes Sent: 6247631, Bytes Received: 211302516
